ID,Message
1,"Tình yêu đôi khi chỉ là một giấc mơ tan vỡ khi tỉnh giấc."
2,"Không phải mọi ai yêu nhau đều có thể ở bên nhau mãi mãi."
3,"Tình yêu có thể mang lại hạnh phúc, nhưng cũng dễ dàng để lại những vết thương."
4,"Đôi khi, yêu một người là tự làm đau chính mình."
5,"Tình yêu không phải lúc nào cũng công bằng."
6,"Không phải lời hứa nào trong tình yêu cũng được giữ trọn."
7,"Tình yêu có thể biến từ ngọt ngào thành cay đắng trong chớp mắt."
8,"Có những tình yêu chỉ tồn tại trong hồi ức."
9,"Yêu sai người có thể khiến bạn mất niềm tin vào tình yêu."
10,"Một trái tim tan vỡ có thể mất cả đời để lành lại."
11,"Đôi khi, tình yêu là sự hy sinh mà không được đáp lại."
12,"Tình yêu không phải lúc nào cũng chiến thắng mọi thứ."
13,"Những lời yêu thương đôi khi chỉ là lời nói dối đẹp đẽ."
14,"Tình yêu có thể khiến người ta trở nên yếu đuối và mù quáng."
15,"Không phải ai yêu nhau cũng được định sẵn để bên nhau mãi mãi."
16,"Tình yêu đôi khi chỉ là một chuỗi những lời chia tay."
17,"Yêu thương quá nhiều đôi lúc khiến bạn đánh mất chính mình."
18,"Có những tình yêu kết thúc trước khi nó kịp bắt đầu."
19,"Tình yêu có thể khiến con tim rực cháy, nhưng cũng dễ dàng thiêu rụi mọi thứ."
20,"Đôi khi, cách duy nhất để yêu là buông tay."
