ID,Message
1,"Tình yêu là ngọn lửa khiến cuộc sống của chúng ta thêm rực rỡ."
2,"Khi yêu thương, bạn sẽ nhận ra mọi điều đều trở nên ý nghĩa."
3,"Một trái tim ấm áp có thể sưởi ấm cả thế giới."
4,"Tình yêu là món quà đẹp nhất mà chúng ta có thể trao tặng nhau."
5,"Khi có tình yêu, mọi khó khăn đều trở nên nhỏ bé."
6,"Hạnh phúc bắt đầu từ những cử chỉ yêu thương giản dị nhất."
7,"Tình yêu không phải là tìm kiếm sự hoàn hảo, mà là hoàn thiện nhau."
8,"Một nụ cười từ người bạn yêu có thể xóa tan mọi buồn phiền."
9,"Yêu thương là sức mạnh giúp chúng ta vượt qua mọi thử thách."
10,"Tình yêu là ánh sáng dẫn lối trong những ngày u tối."
11,"Khi yêu, bạn sẽ nhìn thấy vẻ đẹp nơi những điều bình dị nhất."
12,"Tình yêu là sự đồng hành qua mọi bước đường cuộc sống."
13,"Một lời yêu thương chân thành có thể thay đổi cả một ngày."
14,"Cuộc sống sẽ trở nên trọn vẹn hơn khi có tình yêu."
15,"Tình yêu là sợi dây kết nối những trái tim cô đơn lại gần nhau."
16,"Tình yêu không giới hạn, nó lan tỏa và làm đẹp tâm hồn."
17,"Khi bạn yêu, bạn đang gieo mầm cho những điều tốt đẹp."
18,"Tình yêu giúp ta thấy được sức mạnh của sự tha thứ và bao dung."
19,"Mỗi khoảnh khắc bên người bạn yêu đều là một kỷ niệm quý giá."
20,"Tình yêu là động lực để chúng ta trở thành phiên bản tốt nhất của chính mình."
